ID,Edad,Ingresos,Email,Visitas,Compra
2,41.5,50209.845,ejemplo@correo.com,4.0,False
4,21.0,39727.85,ejemplo@correo.com,3.0,False
5,21.0,36938.04,info@data.com,3.0,False
6,57.0,41317.26,prueba@test.com,4.0,True
7,27.0,45326.71,prueba@test.com,5.0,False
9,39.0,32522.75,ejemplo@correo.com,2.0,True
10,41.5,50209.845,ejemplo@correo.com,4.0,True
11,54.0,56984.94,ejemplo@correo.com,5.0,True
12,41.0,26956.34,ejemplo@correo.com,5.0,False
13,24.0,72323.78,ejemplo@correo.com,5.0,False
14,41.5,50209.845,info@data.com,4.0,False
15,42.0,67681.69,prueba@test.com,8.0,True
17,19.0,33938.71,ejemplo@correo.com,6.0,True
18,56.0,65816.78,prueba@test.com,4.0,False
19,57.0,43952.35,info@data.com,10.0,True
20,41.0,68336.68,info@data.com,3.0,False
21,64.0,53124.12,info@data.com,8.0,False
22,42.0,64649.59,info@data.com,5.0,True
23,35.0,55345.5,ejemplo@correo.com,7.0,False
24,55.0,60598.6,prueba@test.com,3.0,True
26,31.0,76788.06,ejemplo@correo.com,2.0,True
27,26.0,51903.68,info@data.com,1.0,False
28,27.0,56029.84,info@data.com,4.0,True
29,38.0,78247.26,info@data.com,4.0,False
30,69.0,29783.61,info@data.com,4.0,True
31,34.0,30942.73,ejemplo@correo.com,4.0,True
32,69.0,64540.95,prueba@test.com,6.0,False
34,33.0,79154.32,prueba@test.com,12.0,True
35,65.0,43795.72,prueba@test.com,1.0,False
37,36.0,78844.13,info@data.com,3.0,True
38,53.0,72207.72,info@data.com,3.0,True
39,41.5,50209.845,ejemplo@correo.com,4.0,False
40,67.0,63590.67,ejemplo@correo.com,6.0,True
41,69.0,37081.61,prueba@test.com,4.0,True
44,37.0,62036.85,ejemplo@correo.com,10.0,True
45,32.0,64208.78,info@data.com,2.0,False
46,57.0,47674.85,ejemplo@correo.com,4.0,False
47,50.0,59211.19,prueba@test.com,8.0,True
48,41.5,50209.845,ejemplo@correo.com,4.0,False
49,41.5,50209.845,info@data.com,4.0,True
51,49.0,54473.57,prueba@test.com,6.0,True
52,28.0,69895.79,info@data.com,4.0,True
53,41.0,39581.48,prueba@test.com,5.0,True
55,29.0,43472.7,ejemplo@correo.com,6.0,True
56,68.0,77738.96,ejemplo@correo.com,5.0,True
58,52.0,56111.93,ejemplo@correo.com,2.0,True
59,18.0,38451.26,ejemplo@correo.com,2.0,False
60,18.0,58088.74,prueba@test.com,5.0,True
61,54.0,39885.01,ejemplo@correo.com,7.0,False
62,23.0,50477.46,ejemplo@correo.com,9.0,True
64,41.5,50209.845,info@data.com,4.0,True
69,60.0,27631.14,info@data.com,9.0,False
71,19.0,52500.1,prueba@test.com,4.0,True
72,19.0,59525.47,ejemplo@correo.com,3.0,False
73,57.0,85747.17,prueba@test.com,6.0,True
74,59.0,64167.19,ejemplo@correo.com,3.0,True
75,53.0,36307.67,info@data.com,9.0,True
76,41.5,50209.845,info@data.com,4.0,True
78,64.0,43076.23,info@data.com,2.0,True
79,36.0,48976.38,ejemplo@correo.com,6.0,True
80,45.0,75700.14,info@data.com,6.0,True
81,18.0,38828.68,prueba@test.com,3.0,False
82,32.0,37603.42,ejemplo@correo.com,9.0,False
83,53.0,48523.21,info@data.com,5.0,True
84,30.0,40047.83,info@data.com,7.0,False
85,60.0,66899.54,info@data.com,6.0,False
86,38.0,33801.03,ejemplo@correo.com,7.0,False
88,22.0,43432.7,info@data.com,8.0,False
89,24.0,42529.51,info@data.com,3.0,False
